,loss,accuracy,val_loss,val_accuracy
0,0.23371872305870056,0.9296333193778992,0.09458442032337189,0.972599983215332
1,0.09636461734771729,0.9699833393096924,0.08407129347324371,0.9750000238418579
2,0.08867378532886505,0.9717333316802979,0.06324978917837143,0.9804999828338623
3,0.08073689788579941,0.9746999740600586,0.10365796089172363,0.9671000242233276
4,0.07420694082975388,0.9760833382606506,0.06636493653059006,0.9799000024795532
5,0.07591532170772552,0.9760833382606506,0.08028646558523178,0.9763000011444092
6,0.07110228389501572,0.977649986743927,0.06540096551179886,0.9822999835014343
7,0.06950106471776962,0.9778666496276855,0.05922346189618111,0.9828000068664551
8,0.06623020768165588,0.9795166850090027,0.0882551521062851,0.9753000140190125
9,0.06651852279901505,0.979366660118103,0.07342793047428131,0.9779000282287598
